0.9098646300	austin
0.9095960752	octopus
0.9065726669	hex
0.9065323329	winnow
0.9064828544	hungarian
0.9051994990	condor
0.9049260260	siemens
0.9048655364	davis
0.9044946069	nokia
0.9036922681	gage
0.9032695073	jazz
0.9031380893	alpine
0.9027415428	harris
0.9025322030	thailand
0.9024762375	zebra
0.9024743541	ken
0.9021749801	gaas
0.9021513729	ruby
0.9020405559	kerberos
0.9020289455	sun
0.9017508371	kanban
0.9016941905	israel
0.9016134176	firefox
0.9013415117	squeak
0.9012833833	perl
0.9010370949	tamil
0.9008370872	malaysian
0.9007739440	eucalyptus
0.9005101876	telos
0.9004462472	giga
0.9002494785	prof
0.8998054217	clifford
0.8997144860	jean
0.8995873100	andrew
0.8995182516	dragon
0.8994861282	xu
0.8994407184	astral
0.8993578241	singer
0.8993260260	cisco
0.8993119330	web3d
0.8990966915	iranian
0.8989012558	datalog
0.8985611821	curry
0.8985228711	anal
0.8984827826	nisan
0.8984719859	weber
0.8984191249	lotos
0.8983360052	aries
0.8982149954	plexus
0.8980459270	zeno
0.8978885092	verilog
0.8977757395	simula
0.8977556555	pagerank
0.8976602401	dune
0.8976447668	protégé
0.8975793627	esterel
0.8974900371	raman
0.8974753741	morris
0.8973759116	tex
0.8973275929	george
0.8971939235	fastica
0.8971627418	sprint
0.8971534498	prague
0.8971366777	erlang
0.8971042207	jini
0.8970540749	apple
0.8970503364	baroque
0.8970422758	catalan
0.8969518589	android
0.8969515894	tera
0.8969470231	safari
0.8969462472	rabbit
0.8969282957	sovereign
0.8969118556	moon
0.8968823329	collins
0.8967757395	han
0.8965857723	agora
0.8965070779	quark
0.8965024390	argus
0.8964837581	victoria
0.8964767478	flexray
0.8964342440	excel
0.8963297297	mach
0.8962496983	ward
0.8961176757	medieval
0.8960960294	wu
0.8960551758	eclipse
0.8960504248	daniel
0.8959357130	alberta
0.8958186295	arizona
0.8958051141	nexus
0.8957666949	darwinian
0.8957161954	teragrid
0.8956436484	greek
0.8955550354	klaus
0.8955205707	danish
0.8953764429	cobol
0.8953684960	gale
0.8952317724	pmos
0.8951997313	voicexml
0.8951720905	rnas
0.8951325338	eulerian
0.8950784941	lev
0.8950123098	lsis
0.8949834291	tango
0.8949295805	orchestra
0.8949154611	emperor
0.8949144860	openflow
0.8948942795	jigsaw
0.8948657740	wissensbasierte
0.8947190135	dagger
0.8946842967	lisp
0.8946590324	obituary
0.8946315815	thomas
0.8946074338	bleu
0.8945987273	linda
0.8945489996	dbpedia
0.8945413473	alloy
0.8945024390	scala
0.8945005574	basque
0.8943565615	coulomb
0.8942387203	observatory
0.8942090729	cao
0.8941803813	athens
0.8941738093	mendel
0.8941687290	castle
0.8941672476	piccolo
0.8940766475	congress
0.8940565918	stark
0.8940297263	bode
0.8939637820	bernoulli
0.8938979204	costa
0.8938751757	prob
0.8937811448	martin
0.8937442997	czech
0.8937288323	jacobian
0.8937276633	jacket
0.8936338956	polsar
0.8936243245	telosb
0.8936148728	cedar
0.8935607422	optim
0.8935125339	james
0.8934819069	steve
0.8933802214	fresco
0.8933041782	captain
0.8932733901	butler
0.8932681549	cricket
0.8932028406	orange
0.8931986629	euro
0.8930857723	hu
0.8930604241	tomcat
0.8930488895	allen
0.8930418361	sands
0.8930029882	cyclops
0.8929979618	elan
0.8929767117	david
0.8929529895	vista
0.8929470449	julius
0.8928671734	rex
0.8927872875	rev
0.8926915845	blum
0.8926360290	motorola
0.8926017674	amoeba
0.8925957160	shapiro
0.8925519874	jboss
0.8925488982	ross
0.8925332912	cen
0.8925249495	leon
0.8925156663	modelica
0.8924905342	tcl
0.8924313842	weil
0.8924139867	marco
0.8923951181	chirp
0.8923854356	sofia
0.8923846166	locator
0.8923678285	cole
0.8922951042	americans
0.8922767475	sudoku
0.8922623827	roboter
0.8921922758	virginia
0.8921534393	moore
0.8921428036	divine
0.8921272062	dan
0.8921160023	army
0.8920902835	maya
0.8920774039	huber
0.8920498850	sparc
